Id_categorie,Nom,Lien
1,Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html
2,Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html
3,Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html
4,Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html
5,Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html
6,Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html
7,Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html
8,Womens Fiction,https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html
9,Fiction,https://books.toscrape.com/catalogue/category/books/fiction_10/index.html
10,Childrens,https://books.toscrape.com/catalogue/category/books/childrens_11/index.html
11,Religion,https://books.toscrape.com/catalogue/category/books/religion_12/index.html
12,Nonfiction,https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html
13,Music,https://books.toscrape.com/catalogue/category/books/music_14/index.html
14,Default,https://books.toscrape.com/catalogue/category/books/default_15/index.html
15,Science Fiction,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html
16,Sports and Games,https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
17,Add a comment,https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
18,Fantasy,https://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
19,New Adult,https://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
20,Young Adult,https://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
21,Science,https://books.toscrape.com/catalogue/category/books/science_22/index.html
22,Poetry,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html
23,Paranormal,https://books.toscrape.com/catalogue/category/books/paranormal_24/index.html
24,Art,https://books.toscrape.com/catalogue/category/books/art_25/index.html
25,Psychology,https://books.toscrape.com/catalogue/category/books/psychology_26/index.html
26,Autobiography,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
27,Parenting,https://books.toscrape.com/catalogue/category/books/parenting_28/index.html
28,Adult Fiction,https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html
29,Humor,https://books.toscrape.com/catalogue/category/books/humor_30/index.html
30,Horror,https://books.toscrape.com/catalogue/category/books/horror_31/index.html
31,History,https://books.toscrape.com/catalogue/category/books/history_32/index.html
32,Food and Drink,https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
33,Christian Fiction,https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
34,Business,https://books.toscrape.com/catalogue/category/books/business_35/index.html
35,Biography,https://books.toscrape.com/catalogue/category/books/biography_36/index.html
36,Thriller,https://books.toscrape.com/catalogue/category/books/thriller_37/index.html
37,Contemporary,https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
38,Spirituality,https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
39,Academic,https://books.toscrape.com/catalogue/category/books/academic_40/index.html
40,Self Help,https://books.toscrape.com/catalogue/category/books/self-help_41/index.html
41,Historical,https://books.toscrape.com/catalogue/category/books/historical_42/index.html
42,Christian,https://books.toscrape.com/catalogue/category/books/christian_43/index.html
43,Suspense,https://books.toscrape.com/catalogue/category/books/suspense_44/index.html
44,Short Stories,https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html
45,Novels,https://books.toscrape.com/catalogue/category/books/novels_46/index.html
46,Health,https://books.toscrape.com/catalogue/category/books/health_47/index.html
47,Politics,https://books.toscrape.com/catalogue/category/books/politics_48/index.html
48,Cultural,https://books.toscrape.com/catalogue/category/books/cultural_49/index.html
49,Erotica,https://books.toscrape.com/catalogue/category/books/erotica_50/index.html
50,Crime,https://books.toscrape.com/catalogue/category/books/crime_51/index.html
